num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ncc,unit_size,n_wave,N_peak,ci,study_arm,model,reject_h0,bias,MSE,failed,nsim
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,2,fixmodel,0.0265,6.33805820631056e-4,0.007446479144848187,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,2,mixmodel,0.0144,-0.023265915866636754,0.007936438485139464,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,2,mixmodel_AR1,0.0118,-0.029910957685019834,0.008322566689849296,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,2,mixmodel_AR1_cal,0.0111,-0.030395374865946668,0.00826719912975137,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,2,mixmodel_cal,0.0049,-0.051184156660934774,0.009308251084954778,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,2,sepmodel,0.0257,9.883140213925925e-4,0.007943625996667269,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,3,fixmodel,0.0258,0.0013046081542102991,0.007006339963678015,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,3,mixmodel,0.0125,-0.03416291739585752,0.008434022170913252,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,3,mixmodel_AR1,0.0127,-0.03608433960199891,0.008859200177414974,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,3,mixmodel_AR1_cal,0.0127,-0.036560798745825,0.00893497965351376,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,3,mixmodel_cal,0.0012,-0.09479888372561644,0.015027422810234552,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,3,sepmodel,0.0269,0.0014997674232263673,0.007757041572988842,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,4,fixmodel,0.0241,-9.681211388242741e-4,0.007091620371919731,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,4,mixmodel,0.0073,-0.04502005010090573,0.009693951676527066,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,4,mixmodel_AR1,0.0103,-0.0379742047297225,0.009326369367016276,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,4,mixmodel_AR1_cal,0.0101,-0.039970807272540654,0.00980564215020575,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,4,mixmodel_cal,1e-4,-0.13089647509275848,0.023215051659615963,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,4,sepmodel,0.0244,-0.0011525512781851667,0.0078905105126719,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,2,fixmodel,0.0263,-5.394506127186164e-4,0.007484352241437865,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,2,mixmodel,0.0154,-0.024484363968458135,0.008019851701543606,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,2,mixmodel_AR1,0.0128,-0.031184785068391636,0.00842007309702881,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,2,mixmodel_AR1_cal,0.0137,-0.030348447046714664,0.008291713820017707,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,2,mixmodel_cal,0.0064,-0.047618409561383745,0.009107094264966665,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,2,sepmodel,0.0254,-4.529279293595487e-4,0.008040979914568461,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,3,fixmodel,0.0244,-4.839006019707579e-4,0.007306790382785688,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,3,mixmodel,0.0102,-0.03594048105999538,0.008877023045874994,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,3,mixmodel_AR1,0.0108,-0.03789543453428491,0.009351668109617316,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,3,mixmodel_AR1_cal,0.0111,-0.03587880202442766,0.009118370057833444,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,3,mixmodel_cal,0.0018,-0.0860583152921754,0.013976260692471211,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,3,sepmodel,0.025,-2.344564259341651e-4,0.00806207869324849,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,4,fixmodel,0.0234,-5.632474565654706e-4,0.0072593532422993035,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,4,mixmodel,0.0082,-0.04458161965086482,0.00983196001490129,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,4,mixmodel_AR1,0.0105,-0.03748339854911033,0.009469260898827797,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,4,mixmodel_AR1_cal,0.011,-0.0368371086117501,0.00939021035523886,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,4,mixmodel_cal,3e-4,-0.11409973357698752,0.01968453887601434,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,50,NA,NA,FALSE,4,sepmodel,0.0247,1.3559397166747019e-4,0.008092626162793697,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,2,fixmodel,0.0242,4.6187522382343986e-4,0.007476509060026416,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,2,mixmodel,0.0134,-0.02338053668778908,0.007940079630302127,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,2,mixmodel_AR1,0.0118,-0.030097382966522906,0.008325964400905626,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,2,mixmodel_AR1_cal,0.0126,-0.022239497540447246,0.007540230738640745,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,2,mixmodel_cal,0.0086,-0.031508388072914575,0.0078312192096428,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,2,sepmodel,0.024,6.034775950852043e-4,0.008010931008997016,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,3,fixmodel,0.0261,-3.8569351711851435e-4,0.00734901470304788,0,10000
4,250,0,250,500,750,2,0,1,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,100,NA,NA,FALSE,3,mixmodel,0.0106,-0.03591705534886683,0.008955049295499819,0,10000
