num_arms,n_arm,d1,d2,d3,d4,d5,d6,d7,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,theta5,theta6,theta7,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,trend,alpha,ncc,unit_size,bs_degree,study_arm,model,reject_h0,bias,MSE,failed,nsim
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,2,fixmodel,0.0238,-0.0010354952778542142,0.00745966023084315,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,2,poolmodel,0.0126,-0.019607201052138937,0.007075252815213207,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,2,sepmodel,0.0242,-7.428815173825861e-4,0.007979700859988292,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,2,splines,0.024,-0.0010088989866147851,0.007368550512301518,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,2,splines_cal,0.0243,-0.0010576117383164618,0.007420602371542299,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,3,fixmodel,0.0252,-8.381849076268816e-4,0.007478900085964883,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,3,poolmodel,0.0147,-0.019409890681911776,0.007101593477764511,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,3,sepmodel,0.0258,-5.455711471554161e-4,0.008017406493530766,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,3,splines,0.0247,-8.116352624602259e-4,0.007376258360966809,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,3,splines_cal,0.0262,-7.970521572226707e-4,0.007456862993045863,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,4,fixmodel,0.0258,9.558843967911322e-4,0.007310428213880653,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,4,poolmodel,0.0097,-0.031807611415733884,0.007442515950249885,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,4,sepmodel,0.0248,8.886758040391792e-4,0.008037748915190527,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,4,splines,0.0259,0.0010105915930924574,0.0072501338790917575,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,4,splines_cal,0.0252,9.116589749722593e-4,0.007298752437146509,0,10000
7,250,0,250,250,500,500,750,750,2,0,1,0,0,0,0,0,0,0,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,linear,0.025,TRUE,25,3,5,fixmodel,0.0242,-1.0202242192682269e-5,0.007115326720873694,0,10000
