num_arms,n_arm,d1,d2,d3,period_blocks,mu0,sigma,theta1,theta2,theta3,lambda0,lambda1,lambda2,lambda3,trend,alpha,timetrend,hypothesis,compared_arms,model,reject_h0
3,300,0,300,750,2,0,1,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,1 vs. 3,fixmodel,0.0269
3,300,0,300,750,2,0,1,0.25,0.25,0.25,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,1 vs. 3,indirect,0.0279
3,300,0,300,750,2,0,1,0.25,0.25,0.25,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,1 vs. 3,fixmodel,0.0271
3,300,0,300,750,2,0,1,0.25,0.25,0.25,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,1 vs. 3,indirect,0.0258
3,300,0,300,750,2,0,1,0.25,0.25,0.25,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,1 vs. 3,fixmodel,0.0217
3,300,0,300,750,2,0,1,0.25,0.25,0.25,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,1 vs. 3,indirect,0.0228
3,300,0,300,750,2,0,1,0.25,0.25,0.25,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,1 vs. 3,fixmodel,0.0238
3,300,0,300,750,2,0,1,0.25,0.25,0.25,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,1 vs. 3,indirect,0.0253
3,300,0,300,750,2,0,1,0.25,0.25,0.25,0,0,0,0,linear,0.025,EQ,H0,1 vs. 3,fixmodel,0.0242
3,300,0,300,750,2,0,1,0.25,0.25,0.25,0,0,0,0,linear,0.025,EQ,H0,1 vs. 3,indirect,0.0257
3,300,0,300,750,2,0,1,0.25,0.25,0.25,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H0,1 vs. 3,fixmodel,0.0258
3,300,0,300,750,2,0,1,0.25,0.25,0.25,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H0,1 vs. 3,indirect,0.0266
3,300,0,300,750,2,0,1,0.25,0.25,0.25,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H0,1 vs. 3,fixmodel,0.0278
3,300,0,300,750,2,0,1,0.25,0.25,0.25,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H0,1 vs. 3,indirect,0.0262
