num_arms,n_arm,d1,d2,d3,period_blocks,mu0,sigma,theta1,theta2,theta3,lambda0,lambda1,lambda2,lambda3,trend,alpha,timetrend,hypothesis,compared_arms,model,reject_h0
3,300,0,300,750,2,0,1,0.25,0.25,0.5,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H1,1 vs. 3,fixmodel,0.6478
3,300,0,300,750,2,0,1,0.25,0.25,0.5,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H1,1 vs. 3,indirect,0.5735
3,300,0,300,750,2,0,1,0.25,0.25,0.5,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H1,1 vs. 3,fixmodel,0.6503
3,300,0,300,750,2,0,1,0.25,0.25,0.5,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H1,1 vs. 3,indirect,0.5808
3,300,0,300,750,2,0,1,0.25,0.25,0.5,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H1,1 vs. 3,fixmodel,0.6546
3,300,0,300,750,2,0,1,0.25,0.25,0.5,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H1,1 vs. 3,indirect,0.5932
3,300,0,300,750,2,0,1,0.25,0.25,0.5,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H1,1 vs. 3,fixmodel,0.6471
3,300,0,300,750,2,0,1,0.25,0.25,0.5,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H1,1 vs. 3,indirect,0.5807
3,300,0,300,750,2,0,1,0.25,0.25,0.5,0,0,0,0,linear,0.025,EQ,H1,1 vs. 3,fixmodel,0.6498
3,300,0,300,750,2,0,1,0.25,0.25,0.5,0,0,0,0,linear,0.025,EQ,H1,1 vs. 3,indirect,0.5847
3,300,0,300,750,2,0,1,0.25,0.25,0.5,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H1,1 vs. 3,fixmodel,0.644
3,300,0,300,750,2,0,1,0.25,0.25,0.5,0.037500000000000006,0.037500000000000006,0.037500000000000006,0.037500000000000006,linear,0.025,EQ,H1,1 vs. 3,indirect,0.5792
3,300,0,300,750,2,0,1,0.25,0.25,0.5,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H1,1 vs. 3,fixmodel,0.6473
3,300,0,300,750,2,0,1,0.25,0.25,0.5,0.07499999999999998,0.07499999999999998,0.07499999999999998,0.07499999999999998,linear,0.025,EQ,H1,1 vs. 3,indirect,0.5824
