num_arms,n_arm,d1,d2,d3,period_blocks,mu0,sigma,theta1,theta2,theta3,lambda0,lambda1,lambda2,lambda3,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,2,fixmodel,0.0245
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,2,fixmodel_cal,0.0245
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,2,mixmodel,0.0171
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,2,mixmodel_cal,0.0033
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,2,sepmodel,0.0253
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,3,fixmodel,0.0273
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,3,fixmodel_cal,0.0274
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,3,mixmodel,0.0163
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,3,mixmodel_cal,0
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H0,3,sepmodel,0.0274
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,2,fixmodel,0.0269
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,2,fixmodel_cal,0.0269
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,2,mixmodel,0.0173
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,2,mixmodel_cal,0.0056
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,2,sepmodel,0.0264
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,3,fixmodel,0.0245
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,3,fixmodel_cal,0.0244
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,3,mixmodel,0.0114
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,3,mixmodel_cal,5e-4
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H0,3,sepmodel,0.0241
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,2,fixmodel,0.024
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,2,fixmodel_cal,0.024
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,2,mixmodel,0.0143
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,2,mixmodel_cal,0.0092
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,2,sepmodel,0.0257
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,3,fixmodel,0.0255
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,3,fixmodel_cal,0.0256
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,3,mixmodel,0.0113
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,3,mixmodel_cal,0.0023
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H0,3,sepmodel,0.0259
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,2,fixmodel,0.0239
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,2,fixmodel_cal,0.0239
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,2,mixmodel,0.0183
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,2,mixmodel_cal,0.0151
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,2,sepmodel,0.0243
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,3,fixmodel,0.0213
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,3,fixmodel_cal,0.0213
3,3000,0,3000,7500,2,0,1,0.075,0,0,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H0,3,mixmodel,0.011
