num_arms,n_arm,d1,d2,d3,period_blocks,mu0,sigma,theta1,theta2,theta3,lambda0,lambda1,lambda2,lambda3,trend,alpha,timetrend,hypothesis,study_arm,model,reject_h0
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H1,2,fixmodel,0.8487
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H1,2,fixmodel_cal,0.8497
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H1,2,mixmodel,0.802
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H1,2,mixmodel_cal,0.6761
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H1,2,sepmodel,0.8237
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H1,3,fixmodel,0.8567
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H1,3,fixmodel_cal,0.8571
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H1,3,mixmodel,0.7734
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H1,3,mixmodel_cal,0.4069
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.15,-0.15,-0.15,-0.15,linear,0.025,EQ,H1,3,sepmodel,0.8291
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H1,2,fixmodel,0.8553
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H1,2,fixmodel_cal,0.8554
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H1,2,mixmodel,0.8113
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H1,2,mixmodel_cal,0.7409
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H1,2,sepmodel,0.8281
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H1,3,fixmodel,0.8616
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H1,3,fixmodel_cal,0.862
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H1,3,mixmodel,0.7655
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H1,3,mixmodel_cal,0.5541
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,-0.11249999999999999,linear,0.025,EQ,H1,3,sepmodel,0.833
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H1,2,fixmodel,0.8501
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H1,2,fixmodel_cal,0.8512
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H1,2,mixmodel,0.8219
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H1,2,mixmodel_cal,0.7901
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H1,2,sepmodel,0.8252
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H1,3,fixmodel,0.8571
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H1,3,fixmodel_cal,0.8567
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H1,3,mixmodel,0.7782
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H1,3,mixmodel_cal,0.6987
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.075,-0.075,-0.075,-0.075,linear,0.025,EQ,H1,3,sepmodel,0.83
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H1,2,fixmodel,0.8522
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H1,2,fixmodel_cal,0.8523
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H1,2,mixmodel,0.854
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H1,2,mixmodel_cal,0.8466
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H1,2,sepmodel,0.8294
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H1,3,fixmodel,0.8554
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H1,3,fixmodel_cal,0.8555
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H1,3,mixmodel,0.8443
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H1,3,mixmodel_cal,0.8309
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,-0.037500000000000006,linear,0.025,EQ,H1,3,sepmodel,0.8285
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0,0,0,0,linear,0.025,EQ,H1,2,fixmodel,0.8527
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0,0,0,0,linear,0.025,EQ,H1,2,fixmodel_cal,0.8525
3,3000,0,3000,7500,2,0,1,0.075,0.075,0.075,0,0,0,0,linear,0.025,EQ,H1,2,mixmodel,0.8815
