num_arms,n_arm,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,unit_size,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,trend,alpha,ci,timetrend,hypothesis,study_arm,model,reject_h0
10,1000,0,0,0,0,0,0,0,0,0,0,250,2,0,1,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,2,fixmodel,0.8202
10,1000,0,0,0,0,0,0,0,0,0,0,250,2,0,1,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,2,fixmodel_cal,0.8247
10,1000,0,0,0,0,0,0,0,0,0,0,250,2,0,1,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,2,mixmodel,0.8202
10,1000,0,0,0,0,0,0,0,0,0,0,250,2,0,1,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,2,mixmodel_cal,0.8248
10,1000,0,0,0,0,0,0,0,0,0,0,250,2,0,1,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,2,sepmodel,0.8205
10,1000,0,0,0,0,0,0,0,0,0,0,250,2,0,1,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,3,fixmodel,0.8231
10,1000,0,0,0,0,0,0,0,0,0,0,250,2,0,1,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,3,fixmodel_cal,0.8283
10,1000,0,0,0,0,0,0,0,0,0,0,250,2,0,1,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,3,mixmodel,0.8231
10,1000,0,0,0,0,0,0,0,0,0,0,250,2,0,1,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,3,mixmodel_cal,0.8281
10,1000,0,0,0,0,0,0,0,0,0,0,250,2,0,1,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,3,sepmodel,0.8233
