num_arms,n_arm,d1,d2,d3,d4,unit_size,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ci,timetrend,hypothesis,study_arm,model,reject_h0
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel,0.0244
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel_cal,0.0245
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,poolmodel,0.0644
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,sepmodel,0.0234
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel,0.0233
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel_cal,0.023
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,poolmodel,0.1262
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,sepmodel,0.0221
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel,0.0241
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel_cal,0.0241
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,poolmodel,0.2143
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,sepmodel,0.0238
4,1000,0,1000,2000,3000,768,2,0,1,0.13,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel,0.0247
