num_arms,n_arm,d1,d2,d3,d4,unit_size,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ci,timetrend,hypothesis,study_arm,model,reject_h0
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel,0.8508
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,fixmodel_cal,0.8535
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,poolmodel,0.9479
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,2,sepmodel,0.8258
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel,0.8638
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,fixmodel_cal,0.867
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,poolmodel,0.9868
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,3,sepmodel,0.8303
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel,0.8711
4,1000,0,1000,2000,3000,100,2,0,1,0.13,0.13,0.13,0.13,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H1,4,fixmodel_cal,0.8717
