num_arms,n_arm,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,period_blocks,unit_size,mu0,sigma,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,trend,alpha,ci,timetrend,hypothesis,study_arm,model,reject_h0,failed,nsim
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H0,2,fixmodel,0.0255,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H0,2,fixmodel_cal,0.0266,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H0,2,mixmodel,0.0255,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H0,2,mixmodel_AR1,0.0255,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H0,2,mixmodel_AR1_cal,0.0272,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H0,2,mixmodel_cal,0.0269,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H0,2,poolmodel,0.0253,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H0,2,sepmodel,0.0253,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H0,3,fixmodel,0.0223,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H0,3,fixmodel_cal,0.0227,0,10000
