num_arms,n_arm,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,period_blocks,unit_size,mu0,sigma,theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,lambda0,lambda1,lambda2,lambda3,lambda4,lambda5,lambda6,lambda7,lambda8,lambda9,lambda10,trend,alpha,ci,timetrend,hypothesis,study_arm,model,reject_h0,failed,nsim
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,2,fixmodel,0.7945,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,2,fixmodel_cal,0.795,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,2,mixmodel,0.7945,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,2,mixmodel_AR1,0.7945,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,2,mixmodel_AR1_cal,0.8022,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,2,mixmodel_cal,0.7996,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,2,poolmodel,0.7926,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,2,sepmodel,0.7926,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,3,fixmodel,0.7907,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,3,fixmodel_cal,0.793,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,3,mixmodel,0.7907,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,3,mixmodel_AR1,0.7907,0,10000
10,250,0,0,0,0,0,0,0,0,0,0,2,25,0,1,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,FALSE,EQ,H1,3,mixmodel_AR1_cal,0.7984,0,10000
