num_arms,n_arm,d1,d2,d3,d4,unit_size,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ci,timetrend,hypothesis,study_arm,model,reject_h0,failed,nsim
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel,0.0213,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel_cal,0.0229,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel,0.0329,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_AR1,0.0366,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_AR1_cal,0.0353,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_cal,0.0364,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,poolmodel,0.0377,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,sepmodel,0.0211,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel,0.0235,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,fixmodel_cal,0.0219,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel,0.0491,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel_AR1,0.0548,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel_AR1_cal,0.0545,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,mixmodel_cal,0.0584,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,poolmodel,0.0615,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,3,sepmodel,0.0231,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel,0.0244,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,fixmodel_cal,0.0249,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel,0.067,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel_AR1,0.0738,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel_AR1_cal,0.0756,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,mixmodel_cal,0.0819,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,poolmodel,0.0861,0,10000
4,250,0,250,500,750,15,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,4,sepmodel,0.0264,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel,0.025,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,fixmodel_cal,0.0264,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel,0.0364,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_AR1,0.0396,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_AR1_cal,0.0379,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,mixmodel_cal,0.0375,0,10000
4,250,0,250,500,750,56,2,0,1,0.25,0,0,0,0.15,0.15,0.15,0.15,0.15,linear,0.025,FALSE,EQ,H0,2,poolmodel,0.0413,0,10000
