num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ncc,unit_size,ci,bs_degree,timetrend,hypothesis,study_arm,model,reject_h0,failed,nsim
4,250,0,250,500,750,2,0,1,0.25,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,EQ,H0,2,fixmodel,0.0217,0,10000
4,250,0,250,500,750,2,0,1,0.25,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,EQ,H0,2,fixmodel_cal,0.0223,0,10000
4,250,0,250,500,750,2,0,1,0.25,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,EQ,H0,2,splines,0.0209,0,10000
4,250,0,250,500,750,2,0,1,0.25,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,EQ,H0,2,splines_cal,0.0217,0,10000
4,250,0,250,500,750,2,0,1,0.25,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,EQ,H0,3,fixmodel,0.0223,0,10000
4,250,0,250,500,750,2,0,1,0.25,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,EQ,H0,3,fixmodel_cal,0.0217,0,10000
4,250,0,250,500,750,2,0,1,0.25,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,EQ,H0,3,splines,0.0226,0,10000
4,250,0,250,500,750,2,0,1,0.25,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,EQ,H0,3,splines_cal,0.022,0,10000
4,250,0,250,500,750,2,0,1,0.25,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,EQ,H0,4,fixmodel,0.0226,0,10000
4,250,0,250,500,750,2,0,1,0.25,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,EQ,H0,4,fixmodel_cal,0.0224,0,10000
4,250,0,250,500,750,2,0,1,0.25,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,EQ,H0,4,splines,0.0242,0,10000
4,250,0,250,500,750,2,0,1,0.25,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,1,EQ,H0,4,splines_cal,0.0232,0,10000
4,250,0,250,500,750,2,0,1,0.25,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,EQ,H0,2,fixmodel,0.0256,0,10000
4,250,0,250,500,750,2,0,1,0.25,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,EQ,H0,2,fixmodel_cal,0.0259,0,10000
4,250,0,250,500,750,2,0,1,0.25,0,0,0,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,FALSE,2,EQ,H0,2,splines,0.0265,0,10000
