num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ncc,unit_size,ci,bs_degree,poly_degree,n_wave,N_peak,timetrend,hypothesis,study_arm,model,reject_h0,failed,nsim
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,2,fixmodel,0.8254,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,2,fixmodel_cal,0.8237,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,2,mixmodel_AR1_cal,0.9023,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,2,mixmodel_cal,0.9055,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,2,piecewise_cal,0.8088,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,2,sepmodel,0.796,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,2,splines_cal,0.8265,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,3,fixmodel,0.8295,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,3,fixmodel_cal,0.8252,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,3,mixmodel_AR1_cal,0.9381,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,3,mixmodel_cal,0.9471,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,3,piecewise_cal,0.8115,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,3,sepmodel,0.7924,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,3,splines_cal,0.8263,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,4,fixmodel,0.8314,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,4,fixmodel_cal,0.8275,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,4,mixmodel_AR1_cal,0.957,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,4,mixmodel_cal,0.968,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,4,piecewise_cal,0.8178,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,4,sepmodel,0.7882,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,1,1,NA,750,EQ,H1,4,splines_cal,0.8328,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,2,2,NA,750,EQ,H1,2,fixmodel,0.8261,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,0.15,0.15,0.15,0.15,0.15,linear,0.025,TRUE,15,FALSE,2,2,NA,750,EQ,H1,2,fixmodel_cal,0.824,0,10000
