num_arms,n_arm,d1,d2,d3,d4,period_blocks,mu0,sigma,theta1,theta2,theta3,theta4,lambda0,lambda1,lambda2,lambda3,lambda4,trend,alpha,ncc,unit_size,n_wave,N_peak,ci,study_arm,model,reject_h0,bias,MSE,failed,nsim
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,2,fixmodel,0.8224,3.1871911605769375e-4,0.007586957205289076,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,2,mixmodel,0.7595,-0.023520939661917935,0.008089299849004401,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,2,mixmodel_AR1,0.7422,-0.03022818384150975,0.008457750837869992,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,2,mixmodel_AR1_cal,0.7493,-0.030573964650379332,0.008381128513108257,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,2,mixmodel_cal,0.6765,-0.0516865215082911,0.009480458612002965,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,2,sepmodel,0.7957,5.04301197559408e-4,0.008132662283194623,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,3,fixmodel,0.832,4.4138406731824583e-4,0.0073323468133940604,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,3,mixmodel,0.7262,-0.034846832057828465,0.008819164685324243,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,3,mixmodel_AR1,0.7171,-0.036829113699062194,0.009339497035689566,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,3,mixmodel_AR1_cal,0.7221,-0.03702168800345222,0.009384653372543326,0,10000
4,250,0,250,500,750,2,0,1,0.25,0.25,0.25,0.25,-0.5,-0.5,-0.5,-0.5,-0.5,linear,0.025,TRUE,25,NA,NA,FALSE,3,mixmodel_cal,0.4834,-0.09646932808818938,0.01564975795993722,0,10000
